tile_id,x0,y0,x1,y1,lr_shape,sr_shape,gt_shape
tile_0057,-5713206.07,-3503428.99,-5712465.83,-3502688.75,64x64,310x310,1829x1829
tile_0058,-5712465.83,-3503428.99,-5711725.6,-3502688.75,64x64,310x310,1829x1829
tile_0059,-5711725.6,-3503428.99,-5710985.37,-3502688.75,64x64,310x310,1829x1829
tile_0060,-5710985.37,-3503428.99,-5710245.13,-3502688.75,64x64,310x310,1829x1829
tile_0061,-5710245.13,-3503428.99,-5709504.9,-3502688.75,64x64,310x310,1829x1829
tile_0062,-5709504.9,-3503428.99,-5708764.66,-3502688.75,64x64,310x310,1829x1829
tile_0063,-5708764.66,-3503428.99,-5708024.43,-3502688.75,64x64,310x310,1829x1829
tile_0064,-5708024.43,-3503428.99,-5707284.2,-3502688.75,64x64,310x310,1829x1829
tile_0065,-5707284.2,-3503428.99,-5706543.96,-3502688.75,64x64,310x310,1829x1829
tile_0066,-5706543.96,-3503428.99,-5705803.73,-3502688.75,64x64,310x310,1829x1829
tile_0067,-5705803.73,-3503428.99,-5705063.5,-3502688.75,64x64,310x310,1829x1829
tile_0068,-5705063.5,-3503428.99,-5704323.26,-3502688.75,64x64,310x310,1829x1829
tile_0069,-5721348.64,-3502688.75,-5720608.4,-3501948.52,64x64,310x310,1829x1829
tile_0070,-5720608.4,-3502688.75,-5719868.17,-3501948.52,64x64,310x310,1829x1829
tile_0071,-5719868.17,-3502688.75,-5719127.94,-3501948.52,64x64,310x310,1829x1829
tile_0072,-5719127.94,-3502688.75,-5718387.7,-3501948.52,64x64,310x310,1829x1829
tile_0073,-5718387.7,-3502688.75,-5717647.47,-3501948.52,64x64,310x310,1829x1829
tile_0074,-5717647.47,-3502688.75,-5716907.24,-3501948.52,64x64,310x310,1829x1829
tile_0075,-5716907.24,-3502688.75,-5716167.0,-3501948.52,64x64,310x310,1829x1829
tile_0076,-5716167.0,-3502688.75,-5715426.77,-3501948.52,64x64,310x310,1829x1829
tile_0077,-5715426.77,-3502688.75,-5714686.53,-3501948.52,64x64,310x310,1829x1829
tile_0078,-5714686.53,-3502688.75,-5713946.3,-3501948.52,64x64,310x310,1829x1829
tile_0079,-5713946.3,-3502688.75,-5713206.07,-3501948.52,64x64,310x310,1829x1829
tile_0080,-5713206.07,-3502688.75,-5712465.83,-3501948.52,64x64,310x310,1829x1829
tile_0081,-5712465.83,-3502688.75,-5711725.6,-3501948.52,64x64,310x310,1829x1829
tile_0082,-5711725.6,-3502688.75,-5710985.37,-3501948.52,64x64,310x310,1829x1829
tile_0083,-5710985.37,-3502688.75,-5710245.13,-3501948.52,64x64,310x310,1829x1829
tile_0084,-5710245.13,-3502688.75,-5709504.9,-3501948.52,64x64,310x310,1829x1829
tile_0085,-5709504.9,-3502688.75,-5708764.66,-3501948.52,64x64,310x310,1829x1829
tile_0086,-5708764.66,-3502688.75,-5708024.43,-3501948.52,64x64,310x310,1829x1829
tile_0087,-5708024.43,-3502688.75,-5707284.2,-3501948.52,64x64,310x310,1829x1829
tile_0088,-5707284.2,-3502688.75,-5706543.96,-3501948.52,64x64,310x310,1829x1829
tile_0089,-5706543.96,-3502688.75,-5705803.73,-3501948.52,64x64,310x310,1829x1829
tile_0090,-5705803.73,-3502688.75,-5705063.5,-3501948.52,64x64,310x310,1829x1829
tile_0091,-5705063.5,-3502688.75,-5704323.26,-3501948.52,64x64,310x310,1829x1829
tile_0092,-5721348.64,-3501948.52,-5720608.4,-3501208.28,64x64,310x310,1829x1829
tile_0093,-5720608.4,-3501948.52,-5719868.17,-3501208.28,64x64,310x310,1829x1829
tile_0094,-5719868.17,-3501948.52,-5719127.94,-3501208.28,64x64,310x310,1829x1829
tile_0095,-5719127.94,-3501948.52,-5718387.7,-3501208.28,64x64,310x310,1829x1829
tile_0096,-5718387.7,-3501948.52,-5717647.47,-3501208.28,64x64,310x310,1829x1829
tile_0097,-5717647.47,-3501948.52,-5716907.24,-3501208.28,64x64,310x310,1829x1829
tile_0098,-5716907.24,-3501948.52,-5716167.0,-3501208.28,64x64,310x310,1829x1829
tile_0099,-5716167.0,-3501948.52,-5715426.77,-3501208.28,64x64,310x310,1829x1829
tile_0100,-5715426.77,-3501948.52,-5714686.53,-3501208.28,64x64,310x310,1829x1829
tile_0101,-5714686.53,-3501948.52,-5713946.3,-3501208.28,64x64,310x310,1829x1829
tile_0102,-5713946.3,-3501948.52,-5713206.07,-3501208.28,64x64,310x310,1829x1829
tile_0103,-5713206.07,-3501948.52,-5712465.83,-3501208.28,64x64,310x310,1829x1829
tile_0104,-5712465.83,-3501948.52,-5711725.6,-3501208.28,64x64,310x310,1829x1829
tile_0105,-5711725.6,-3501948.52,-5710985.37,-3501208.28,64x64,310x310,1829x1829
tile_0106,-5710985.37,-3501948.52,-5710245.13,-3501208.28,64x64,310x310,1829x1829
tile_0107,-5710245.13,-3501948.52,-5709504.9,-3501208.28,64x64,310x310,1829x1829
tile_0108,-5709504.9,-3501948.52,-5708764.66,-3501208.28,64x64,310x310,1829x1829
tile_0109,-5708764.66,-3501948.52,-5708024.43,-3501208.28,64x64,310x310,1829x1829
tile_0110,-5708024.43,-3501948.52,-5707284.2,-3501208.28,64x64,310x310,1829x1829
tile_0111,-5707284.2,-3501948.52,-5706543.96,-3501208.28,64x64,310x310,1829x1829
tile_0112,-5706543.96,-3501948.52,-5705803.73,-3501208.28,64x64,310x310,1829x1829
tile_0113,-5705803.73,-3501948.52,-5705063.5,-3501208.28,64x64,310x310,1829x1829
tile_0114,-5705063.5,-3501948.52,-5704323.26,-3501208.28,64x64,310x310,1829x1829
tile_0115,-5721348.64,-3501208.28,-5720608.4,-3500468.05,64x64,310x310,1829x1829
tile_0116,-5720608.4,-3501208.28,-5719868.17,-3500468.05,64x64,310x310,1829x1829
tile_0117,-5719868.17,-3501208.28,-5719127.94,-3500468.05,64x64,310x310,1829x1829
tile_0118,-5719127.94,-3501208.28,-5718387.7,-3500468.05,64x64,310x310,1829x1829
tile_0119,-5718387.7,-3501208.28,-5717647.47,-3500468.05,64x64,310x310,1829x1829
tile_0120,-5717647.47,-3501208.28,-5716907.24,-3500468.05,64x64,310x310,1829x1829
tile_0121,-5716907.24,-3501208.28,-5716167.0,-3500468.05,64x64,310x310,1829x1829
tile_0122,-5716167.0,-3501208.28,-5715426.77,-3500468.05,64x64,310x310,1829x1829
tile_0123,-5715426.77,-3501208.28,-5714686.53,-3500468.05,64x64,310x310,1829x1829
tile_0124,-5714686.53,-3501208.28,-5713946.3,-3500468.05,64x64,310x310,1829x1829
tile_0125,-5713946.3,-3501208.28,-5713206.07,-3500468.05,64x64,310x310,1829x1829
tile_0126,-5713206.07,-3501208.28,-5712465.83,-3500468.05,64x64,310x310,1829x1829
tile_0127,-5712465.83,-3501208.28,-5711725.6,-3500468.05,64x64,310x310,1829x1829
tile_0128,-5711725.6,-3501208.28,-5710985.37,-3500468.05,64x64,310x310,1829x1829
tile_0129,-5710985.37,-3501208.28,-5710245.13,-3500468.05,64x64,310x310,1829x1829
tile_0130,-5710245.13,-3501208.28,-5709504.9,-3500468.05,64x64,310x310,1829x1829
tile_0131,-5709504.9,-3501208.28,-5708764.66,-3500468.05,64x64,310x310,1829x1829
tile_0132,-5708764.66,-3501208.28,-5708024.43,-3500468.05,64x64,310x310,1829x1829
tile_0133,-5708024.43,-3501208.28,-5707284.2,-3500468.05,64x64,310x310,1829x1829
tile_0134,-5707284.2,-3501208.28,-5706543.96,-3500468.05,64x64,310x310,1829x1829
tile_0135,-5706543.96,-3501208.28,-5705803.73,-3500468.05,64x64,310x310,1829x1829
tile_0136,-5705803.73,-3501208.28,-5705063.5,-3500468.05,64x64,310x310,1829x1829
tile_0137,-5705063.5,-3501208.28,-5704323.26,-3500468.05,64x64,310x310,1829x1829
tile_0138,-5721348.64,-3500468.05,-5720608.4,-3499727.82,64x64,310x310,1829x1829
tile_0139,-5720608.4,-3500468.05,-5719868.17,-3499727.82,64x64,310x310,1829x1829
tile_0140,-5719868.17,-3500468.05,-5719127.94,-3499727.82,64x64,310x310,1829x1829
tile_0141,-5719127.94,-3500468.05,-5718387.7,-3499727.82,64x64,310x310,1829x1829
tile_0142,-5718387.7,-3500468.05,-5717647.47,-3499727.82,64x64,310x310,1829x1829
tile_0143,-5717647.47,-3500468.05,-5716907.24,-3499727.82,64x64,310x310,1829x1829
tile_0144,-5716907.24,-3500468.05,-5716167.0,-3499727.82,64x64,310x310,1829x1829
tile_0145,-5716167.0,-3500468.05,-5715426.77,-3499727.82,64x64,310x310,1829x1829
tile_0146,-5715426.77,-3500468.05,-5714686.53,-3499727.82,64x64,310x310,1829x1829
tile_0147,-5714686.53,-3500468.05,-5713946.3,-3499727.82,64x64,310x310,1829x1829
tile_0148,-5713946.3,-3500468.05,-5713206.07,-3499727.82,64x64,310x310,1829x1829
tile_0149,-5713206.07,-3500468.05,-5712465.83,-3499727.82,64x64,310x310,1829x1829
tile_0150,-5712465.83,-3500468.05,-5711725.6,-3499727.82,64x64,310x310,1829x1829
tile_0151,-5711725.6,-3500468.05,-5710985.37,-3499727.82,64x64,310x310,1829x1829
tile_0152,-5710985.37,-3500468.05,-5710245.13,-3499727.82,64x64,310x310,1829x1829
tile_0153,-5710245.13,-3500468.05,-5709504.9,-3499727.82,64x64,310x310,1829x1829
tile_0154,-5709504.9,-3500468.05,-5708764.66,-3499727.82,64x64,310x310,1829x1829
tile_0155,-5708764.66,-3500468.05,-5708024.43,-3499727.82,64x64,310x310,1829x1829
tile_0156,-5708024.43,-3500468.05,-5707284.2,-3499727.82,64x64,310x310,1829x1829
tile_0157,-5707284.2,-3500468.05,-5706543.96,-3499727.82,64x64,310x310,1829x1829
tile_0158,-5706543.96,-3500468.05,-5705803.73,-3499727.82,64x64,310x310,1829x1829
tile_0159,-5705803.73,-3500468.05,-5705063.5,-3499727.82,64x64,310x310,1829x1829
tile_0160,-5705063.5,-3500468.05,-5704323.26,-3499727.82,64x64,310x310,1829x1829
tile_0161,-5721348.64,-3499727.82,-5720608.4,-3498987.58,64x64,310x310,1829x1829
tile_0162,-5720608.4,-3499727.82,-5719868.17,-3498987.58,64x64,310x310,1829x1829
tile_0163,-5719868.17,-3499727.82,-5719127.94,-3498987.58,64x64,310x310,1829x1829
tile_0164,-5719127.94,-3499727.82,-5718387.7,-3498987.58,64x64,310x310,1829x1829
tile_0165,-5718387.7,-3499727.82,-5717647.47,-3498987.58,64x64,310x310,1829x1829
tile_0166,-5717647.47,-3499727.82,-5716907.24,-3498987.58,64x64,310x310,1829x1829
tile_0167,-5716907.24,-3499727.82,-5716167.0,-3498987.58,64x64,310x310,1829x1829
tile_0168,-5716167.0,-3499727.82,-5715426.77,-3498987.58,64x64,310x310,1829x1829
tile_0169,-5715426.77,-3499727.82,-5714686.53,-3498987.58,64x64,310x310,1829x1829
tile_0170,-5714686.53,-3499727.82,-5713946.3,-3498987.58,64x64,310x310,1829x1829
tile_0171,-5713946.3,-3499727.82,-5713206.07,-3498987.58,64x64,310x310,1829x1829
tile_0172,-5713206.07,-3499727.82,-5712465.83,-3498987.58,64x64,310x310,1829x1829
tile_0173,-5712465.83,-3499727.82,-5711725.6,-3498987.58,64x64,310x310,1829x1829
tile_0174,-5711725.6,-3499727.82,-5710985.37,-3498987.58,64x64,310x310,1829x1829
tile_0175,-5710985.37,-3499727.82,-5710245.13,-3498987.58,64x64,310x310,1829x1829
tile_0176,-5710245.13,-3499727.82,-5709504.9,-3498987.58,64x64,310x310,1829x1829
tile_0177,-5709504.9,-3499727.82,-5708764.66,-3498987.58,64x64,310x310,1829x1829
tile_0178,-5708764.66,-3499727.82,-5708024.43,-3498987.58,64x64,310x310,1829x1829
tile_0179,-5708024.43,-3499727.82,-5707284.2,-3498987.58,64x64,310x310,1829x1829
