tile_id,generic_clip_lr,generic_clip_sr,remote_clip_lr,remote_clip_sr
tile_0000,1.865638643503189,2.1636302769184113,1.3189546763896942,1.9795054197311401
tile_0001,1.6840791702270508,2.044374793767929,1.597720980644226,1.9038426876068115
tile_0002,1.57233327627182,2.1185410022735596,1.3010446727275848,2.0234617590904236
tile_0003,1.5748398005962372,1.9100409746170044,1.3794414699077606,2.0391128957271576
tile_0004,1.7839613556861877,2.0474520325660706,1.4768272638320923,2.0351698994636536
tile_0005,1.6296721994876862,2.0341594517230988,1.564871221780777,1.9783426821231842
tile_0006,1.886269450187683,2.181459069252014,1.629946082830429,1.8331348896026611
tile_0007,1.5048761665821075,2.1960169076919556,1.351809799671173,2.022506296634674
tile_0008,1.5824368596076965,2.154569923877716,1.3814331591129303,2.0161311328411102
tile_0009,1.6997510194778442,2.13978111743927,1.424623280763626,1.9598960876464844
tile_0010,1.8942034244537354,2.184731811285019,1.6221725940704346,1.9095782935619354
tile_0011,1.478792428970337,2.1686723828315735,1.9043217599391937,2.0767173171043396
tile_0012,1.8229420483112335,2.193581759929657,1.7308497428894043,2.0683062076568604
tile_0013,1.7530739307403564,2.231309413909912,1.606263816356659,1.9349753856658936
tile_0014,1.590341329574585,2.118479162454605,1.4643651247024536,2.232104241847992
tile_0015,1.9068162143230438,2.118702530860901,1.7993667721748352,2.150385081768036
tile_0016,1.6362632811069489,2.157404124736786,1.7069092392921448,1.9430378079414368
tile_0017,2.1276094019412994,2.2757387161254883,1.7918843030929565,2.0604881644248962
tile_0018,1.8807348608970642,2.0557749271392822,1.7734348773956299,2.059018611907959
tile_0019,1.6512605547904968,2.1226826310157776,1.508459448814392,2.1620339155197144
tile_0020,1.5491226315498352,2.085013687610626,1.4845922589302063,1.9650566577911377
tile_0021,1.7429359257221222,2.212407886981964,1.667083352804184,2.1199069917201996
tile_0022,1.639561951160431,2.173214554786682,1.6523829102516174,1.9935406744480133
tile_0023,2.030031830072403,2.3612268269062042,1.322934329509735,2.0029158890247345
tile_0024,1.7673571407794952,2.3339027166366577,1.423475444316864,2.014925330877304
tile_0025,1.6147184371948242,2.1908190846443176,1.258016973733902,2.1395033597946167
tile_0026,1.6964715719223022,2.2379739582538605,1.5878839790821075,2.0297011733055115
tile_0027,1.938071846961975,2.268608808517456,1.5326602756977081,2.0797252655029297
tile_0028,2.067970335483551,2.240392416715622,1.68366938829422,2.023649662733078
tile_0029,1.830507218837738,2.2764863073825836,1.5173113346099854,1.8395140767097473
tile_0030,1.2720680236816406,2.234202027320862,1.328592449426651,1.9741283357143402
tile_0031,1.4715854823589325,2.2302770614624023,1.3332241773605347,2.11480051279068
tile_0032,1.7527617514133453,2.2336475551128387,1.516885757446289,1.9832658767700195
tile_0033,1.8431556224822998,2.1594613790512085,1.525276005268097,1.855870634317398
tile_0034,1.9158461689949036,2.159724235534668,1.5491530299186707,1.86502143740654
tile_0035,2.066294550895691,2.211288958787918,1.4596772193908691,1.9164635241031647
tile_0036,2.003100663423538,2.2954964637756348,1.5991641581058502,2.117612659931183
tile_0037,1.8204690515995026,2.2475722432136536,1.5038949251174927,2.17875674366951
tile_0038,1.762135922908783,2.1024179458618164,1.5840037167072296,1.9666901230812073
tile_0039,1.7487360537052155,1.9213899970054626,1.7127582430839539,2.041250169277191
tile_0040,1.8926745653152466,2.3368434607982635,1.6531777381896973,2.067655771970749
tile_0041,1.9152392446994781,2.1425846219062805,1.5578967332839966,1.952059119939804
tile_0042,1.4149114489555359,2.1654900908470154,1.2904267013072968,1.7033685743808746
tile_0043,1.9005805253982544,2.269688844680786,1.5055559575557709,2.0549897849559784
tile_0044,2.02506422996521,2.2449690103530884,1.6641069948673248,2.1630632877349854
tile_0045,1.9203129410743713,2.176060676574707,1.7296026647090912,2.1394845843315125
tile_0046,1.6709184646606445,2.2449658811092377,1.2103396654129028,1.89862921833992
tile_0047,1.9226901233196259,2.2183752059936523,1.4993059635162354,2.0280009508132935
tile_0048,2.0238859951496124,2.3091158270835876,1.6353526711463928,1.8159659206867218
tile_0049,1.3819606602191925,2.3301221430301666,1.422746479511261,2.0394885540008545
tile_0050,1.8733792006969452,2.2969499230384827,1.5131309628486633,2.14937761425972
tile_0051,2.087867558002472,2.1682925522327423,1.4121486246585846,1.7959310114383698
tile_0052,1.5792298316955566,2.232332229614258,1.4486294984817505,1.999312937259674
tile_0053,1.7141740024089813,2.302985191345215,1.345062404870987,1.9147618114948273
tile_0054,1.9411538541316986,2.2620902955532074,1.332181990146637,1.8672093749046326
tile_0055,1.5526434779167175,2.2510623931884766,1.5659981966018677,1.9441664218902588
tile_0056,2.0044149458408356,2.0779941976070404,1.4886680245399475,1.9049440324306488
tile_0057,1.7526529729366302,2.2268082201480865,1.5531112253665924,2.0376336574554443
tile_0058,1.6299434006214142,2.108542025089264,1.4860571920871735,1.8270501494407654
tile_0059,2.068643867969513,2.1733593940734863,1.6463685035705566,1.8738803267478943
tile_0060,1.8926447629928589,2.3089320957660675,1.5987232327461243,1.9326026737689972
tile_0061,2.11510106921196,2.2968754172325134,1.6586050391197205,2.212706208229065
tile_0062,2.1189703047275543,2.294370085000992,1.5031033754348755,2.065143585205078
tile_0063,2.0992857217788696,2.240099459886551,1.4608153700828552,2.048344612121582
tile_0064,1.5604180097579956,2.282244861125946,1.2261506915092468,1.856953501701355
tile_0065,1.934327483177185,2.337450385093689,1.2594777345657349,1.9210134446620941
tile_0066,1.6742491722106934,2.0500609278678894,1.7039857804775238,1.8166238069534302
tile_0067,2.1720170974731445,1.8030810356140137,1.7877227067947388,2.027808278799057
tile_0068,2.2426199913024902,2.3011134564876556,2.0413263142108917,2.1142056584358215
tile_0069,1.8930210173130035,2.3861882090568542,1.6479739546775818,2.1053630113601685
tile_0070,1.731082797050476,2.3377475142478943,1.239037662744522,2.2441694140434265
tile_0071,1.7815060913562775,2.2460253536701202,1.2446638196706772,2.1003559231758118
tile_0072,1.8727631866931915,2.122582793235779,1.527339518070221,2.1204084157943726
tile_0073,1.676221340894699,2.275918275117874,1.1978055536746979,1.932297945022583
tile_0074,1.8054544925689697,2.356097996234894,1.5271814167499542,2.1612605452537537
tile_0075,1.9082030653953552,2.286680042743683,1.2860973179340363,1.7596548795700073
tile_0076,1.8243184685707092,2.2312216460704803,1.6183529794216156,2.004041373729706
tile_0077,2.0339833199977875,2.233785390853882,1.531076431274414,1.9864726066589355
tile_0078,1.628824919462204,2.3121806979179382,1.624668836593628,2.113892585039139
tile_0079,2.0407727360725403,2.0681920647621155,1.7095938324928284,2.1522559225559235
tile_0080,2.0053672790527344,2.0659038424491882,1.4222520589828491,2.0459356904029846
tile_0081,1.9043844938278198,2.0955540239810944,1.308637261390686,1.8205781280994415
tile_0082,2.010022848844528,2.196824699640274,1.4705532789230347,2.0798680186271667
tile_0083,2.074941396713257,2.109660655260086,1.8298892676830292,2.176392376422882
tile_0084,2.1358031034469604,2.1453800797462463,1.8169903755187988,2.0420369505882263
tile_0085,1.9179877638816833,2.179570496082306,1.725979745388031,2.2530969977378845
tile_0086,1.877177655696869,2.279883623123169,1.4068464934825897,1.8369466066360474
tile_0087,1.7139597237110138,2.1449151635169983,1.2901583313941956,1.59621924161911
tile_0088,2.014099657535553,2.238355278968811,1.6793513298034668,1.921161711215973
tile_0089,2.2089551389217377,2.2583238780498505,1.5993493795394897,2.0971615612506866
tile_0090,2.1951010823249817,2.2315916419029236,1.9112515449523926,2.081202268600464
tile_0091,1.712966412305832,2.2313180565834045,1.6680547595024109,2.1265774965286255
tile_0092,1.8769073486328125,2.1082139015197754,1.569720208644867,2.0119987428188324
tile_0093,1.9514074921607971,2.2029274702072144,1.2734706699848175,1.704029142856598
tile_0094,1.962982714176178,2.2044506669044495,1.3222487270832062,1.7328283190727234
tile_0095,1.8262623250484467,2.2516024112701416,1.2379347532987595,2.0538324117660522
tile_0096,1.6754010319709778,2.2677087783813477,1.2907291948795319,2.1935001015663147
tile_0097,1.6031011939048767,2.3691190779209137,1.5147054195404053,2.0263858139514923
tile_0098,1.8286880850791931,2.11722731590271,1.4291509985923767,2.207748591899872
tile_0099,2.117246389389038,2.3050405085086823,1.3289014995098114,2.1490201354026794
tile_0100,2.067175656557083,2.1878595650196075,1.4930656552314758,2.322126030921936
tile_0101,1.6471058130264282,2.255958318710327,1.4357219636440277,1.9164489209651947
tile_0102,2.14918851852417,2.209547311067581,1.5494748950004578,1.860983520746231
tile_0103,1.890576183795929,2.2042444348335266,1.3624666631221771,2.191685736179352
